Table (of Game struct)	Id	Field	New text
StdItemsTxt	0	NameAdd	_(TRANS)_
	1	NameAdd	_(TRANS)_
	2	NameAdd	_(TRANS)_
	3	NameAdd	_(TRANS)_
	4	NameAdd	_(TRANS)_
	5	NameAdd	_(TRANS)_
	6	NameAdd	_(TRANS)_
	7	NameAdd	_(TRANS)_
	8	NameAdd	_(TRANS)_
	9	NameAdd	_(TRANS)_
	10	NameAdd	_(TRANS)_
	11	NameAdd	_(TRANS)_
	12	NameAdd	_(TRANS)_
	13	NameAdd	_(TRANS)_
	14	NameAdd	_(TRANS)_
	15	NameAdd	_(TRANS)_
	16	NameAdd	_(TRANS)_
	17	NameAdd	_(TRANS)_
	18	NameAdd	_(TRANS)_
	19	NameAdd	_(TRANS)_
	20	NameAdd	_(TRANS)_
	21	NameAdd	_(TRANS)_
	22	NameAdd	_(TRANS)_
	23	NameAdd	_(TRANS)_
	24	NameAdd	_(TRANS)_
