Table (of Game struct)	Id	Field	New text
NPCDataTxt	0	Name	
	1	Name	_(TRANS)_
	2	Name	_(TRANS)_
	3	Name	_(TRANS)_
	4	Name	_(TRANS)_
	5	Name	_(TRANS)_
	6	Name	_(TRANS)_
	7	Name	_(TRANS)_
	8	Name	_(TRANS)_
	9	Name	_(TRANS)_
	10	Name	_(TRANS)_
	11	Name	_(TRANS)_
	12	Name	_(TRANS)_
	13	Name	_(TRANS)_
	14	Name	_(TRANS)_
	15	Name	_(TRANS)_
	16	Name	_(TRANS)_
	17	Name	_(TRANS)_
	18	Name	_(TRANS)_
	19	Name	_(TRANS)_
	20	Name	_(TRANS)_
	21	Name	_(TRANS)_
	22	Name	_(TRANS)_
	23	Name	_(TRANS)_
	24	Name	_(TRANS)_
	25	Name	_(TRANS)_
	26	Name	_(TRANS)_
	27	Name	_(TRANS)_
	28	Name	_(TRANS)_
	29	Name	_(TRANS)_
	30	Name	_(TRANS)_
	31	Name	_(TRANS)_
	32	Name	_(TRANS)_
	33	Name	_(TRANS)_
	34	Name	_(TRANS)_
	35	Name	_(TRANS)_
	36	Name	_(TRANS)_
	37	Name	_(TRANS)_
	38	Name	_(TRANS)_
	39	Name	_(TRANS)_
	40	Name	_(TRANS)_
	41	Name	_(TRANS)_
	42	Name	_(TRANS)_
	43	Name	_(TRANS)_
	44	Name	_(TRANS)_
	45	Name	_(TRANS)_
	46	Name	_(TRANS)_
	47	Name	_(TRANS)_
	48	Name	_(TRANS)_
	49	Name	_(TRANS)_
	50	Name	_(TRANS)_
	51	Name	_(TRANS)_
	52	Name	_(TRANS)_
	53	Name	_(TRANS)_
	54	Name	_(TRANS)_
	55	Name	_(TRANS)_
	56	Name	_(TRANS)_
	57	Name	_(TRANS)_
	58	Name	_(TRANS)_
	59	Name	_(TRANS)_
	60	Name	_(TRANS)_
	61	Name	_(TRANS)_
	62	Name	_(TRANS)_
	63	Name	_(TRANS)_
	64	Name	_(TRANS)_
	65	Name	_(TRANS)_
	66	Name	_(TRANS)_
	67	Name	_(TRANS)_
	68	Name	_(TRANS)_
	69	Name	_(TRANS)_
	70	Name	_(TRANS)_
	71	Name	_(TRANS)_
	72	Name	_(TRANS)_
	73	Name	_(TRANS)_
	74	Name	_(TRANS)_
	75	Name	_(TRANS)_
	76	Name	_(TRANS)_
	77	Name	_(TRANS)_
	78	Name	_(TRANS)_
	79	Name	_(TRANS)_
	80	Name	_(TRANS)_
	81	Name	_(TRANS)_
	82	Name	_(TRANS)_
	83	Name	_(TRANS)_
	84	Name	_(TRANS)_
	85	Name	_(TRANS)_
	86	Name	_(TRANS)_
	87	Name	_(TRANS)_
	88	Name	_(TRANS)_
	89	Name	_(TRANS)_
	90	Name	_(TRANS)_
	91	Name	_(TRANS)_
	92	Name	_(TRANS)_
	93	Name	_(TRANS)_
	94	Name	_(TRANS)_
	95	Name	_(TRANS)_
	96	Name	_(TRANS)_
	97	Name	_(TRANS)_
	98	Name	_(TRANS)_
	99	Name	_(TRANS)_
	100	Name	_(TRANS)_
	101	Name	_(TRANS)_
	102	Name	_(TRANS)_
	103	Name	_(TRANS)_
	104	Name	_(TRANS)_
	105	Name	_(TRANS)_
	106	Name	_(TRANS)_
	107	Name	_(TRANS)_
	108	Name	_(TRANS)_
	109	Name	_(TRANS)_
	110	Name	_(TRANS)_
	111	Name	_(TRANS)_
	112	Name	_(TRANS)_
	113	Name	_(TRANS)_
	114	Name	_(TRANS)_
	115	Name	_(TRANS)_
	116	Name	_(TRANS)_
	117	Name	_(TRANS)_
	118	Name	_(TRANS)_
	119	Name	_(TRANS)_
	120	Name	_(TRANS)_
